groups	m/z	rtime	1a_120k_c18_001.mzXML Peak area	1b_120k_c18_001.mzXML Peak area	2a_120k_c18_001.mzXML Peak area
a	371.536394480112	0.066981306306306	1289611.30416015	1204985.56013671	877216.175898437
a	218.962006147517	0.107198449612403	0	3355.09671170043	0
b	289.008665605024	0.300594848484848	1350600.28213476	2132454.02434667	655853.93769458
b	428.005506833394	0.300655729166666	451714.015797851	461199.924507812	332220.572938476
b	357.101948579152	0.303048090277777	4373291.8722871	4938691.59746288	3443555.62361938
b	323.026787281036	0.304432291666666	6375514.80184069	7032196.47186498	4514150.62100549
b	744.079684257507	0.306388541666666	1288430.18461328	2327374.27195507	544968.547658203
c	289.031469673946	0.311635057471264	7421335.49082959	8578598.59899841	4960988.46584643
c	346.053757985432	0.312346527777777	12100000	13100000	10900000
c	194.926290330432	0.312773015873015	3021635.55660339	3449087.24207422	2233714.64950952
c	394.964530626932	0.320766840277777	710707.793968932	773234.184851807	318978.445678588
d	194.935719648996	0.334473958333333	4522591.77226812	4761301.25931079	3047734.67846215
d	158.039114316304	0.349743576388888	9744079.41253906	9884590.3480664	11500000
d	156.924005667368	0.3527359375	1067906.78465966	1036718.26878662	1269128.1026062
e	176.93471021776	0.362233982683982	1067773.86467016	1138894.08145507	812920.092304809
e	216.926858584086	0.366006944444444	1328194.38229199	1337414.61558789	1311066.64812573
e	96.9684379932492	0.371226356589147	6412522.24679687	6694684.91634375	6068129.97576562
f	225.060150698006	0.384491365461847	4871799.20705469	4909460.30564062	6544878.33742578
f	179.05480368932	0.389076041666666	5268463.52260937	5285637.1484375	7544571.54075195
f	215.163849592208	0.395013715277777	639137.255942871	691166.303290039	1331906.38644482
g	313.236796855926	0.407247222222222	999384.305997314	959994.292306152	814210.479428955
h	112.998181776566	0.477184848484848	0	1895.63375958252	0
I	97.010996008432	0.738935125448028	2759317.55866406	2613230.21146093	2887951.7991875
j	253.808250427246	1.17516111111111	0	7164.79445605468	0
k	321.172088623046	2.23134487179487	0	5360.63308450316	0
m	441.242369079589	3.41867333333333	0	5293.94542218018	0
m	147.074666849772	3.98354555555555	0	5572.68269415282	0
n	864.562957763671	4.17568333333333	0	3675.60608996587	0
n	283.263123383393	4.4402045045045	7102009.91997657	7190524.78847656	0

